ID,X,Y,Z,Radio (mm),Altura (mm),Aletas_Detectadas,Es_HeatStake_Potencial,Distancia_Origen
474,1599.03617642784,-783.271300052553,1502.56147384671,1.0,3.0631,4,True,2329.832956608559
314,1587.5463332984,-751.628879913523,1529.0448383305,0.5,0.808,4,True,2328.7823966859582
453,1596.49974195618,-783.153986652112,1502.20782642324,0.5,3.3372,2,False,2327.8251537953793
291,1576.5000108898,-764.628879913523,1532.42534388861,3.0,24.4053,12,True,2327.73216735205
312,1576.5000108898,-764.628879913523,1532.42534388861,2.0,24.3506,2,False,2327.73216735205
445,1590.93192365373,-783.247771036938,1507.51572564745,0.5,2.6052,3,True,2327.476126539056
476,1605.28735588648,-783.842042368515,1490.36380338284,1.0,3.0473,4,True,2326.486644876178
160,1895.03034382759,-723.567091313621,1138.23404719854,0.5,0.808,4,True,2325.997868842819
162,1899.05541527585,-723.567091313621,1130.33439968878,0.5,0.808,4,True,2325.4282747572283
414,1572.18109008659,-751.628879913523,1538.59340202499,0.5,0.808,4,True,2324.643845818268
450,1587.23912997801,-782.902264397553,1506.64724330731,0.5,5.1646,2,False,2324.2740645409444
454,1587.23912997801,-782.902264397553,1506.64724330731,0.5,5.3299,2,False,2324.2740645409444
452,1589.85351480226,-782.974836813697,1503.55076700241,0.5,0.779,2,False,2324.080184194614
159,1891.60641354645,-736.567091313621,1131.51420565866,2.0,17.7361,2,False,2324.0116827123784
158,1891.60641354645,-736.567091313621,1131.51420565866,3.0,17.8463,12,True,2324.0116827123784
447,1594.48999119325,-774.804364465812,1502.51251177449,0.5,2.0882,2,False,2323.846807181921
448,1579.80362106996,-774.804368877344,1517.52949536407,0.5,2.1269,2,False,2323.574199477414
443,1584.95652245965,-783.300448382488,1507.66611171667,0.5,2.6358,3,True,2323.511109278898
475,1598.96790512583,-781.92248012646,1492.73170998537,1.0,3.0635,4,True,2323.004322971751
472,1604.52306424822,-783.383030044523,1484.9749579372,0.5,6.7458,2,False,2322.355240088567
449,1585.80581527528,-782.866312860256,1503.6570232723,0.5,0.821,2,False,2321.345340790211
462,1596.94454720814,-782.675610657721,1490.12389098584,0.5,3.1959,2,False,2320.190123430196
444,1579.70356361667,-783.287529177712,1507.80559045286,0.5,2.602,3,True,2320.0173277088747
466,1599.06447247974,-782.734822706087,1487.16662061497,0.5,3.2139,2,False,2319.7727361306297
468,1592.61589271316,-783.056923983747,1493.67121759389,0.5,5.4367,2,False,2319.6243735117628
161,1886.27351710591,-723.567091313621,1136.84710209921,0.5,0.808,4,True,2318.188614094747
456,1595.95897610028,-775.042933723155,1491.81201565505,0.5,2.2613,3,True,2318.0335831393886
163,1892.78621951634,-723.567091313621,1124.06520392926,0.5,0.808,4,True,2317.2638156039857
457,1600.33714332373,-775.366682725406,1485.72663734296,0.5,2.273,3,True,2317.2518434327712
470,1582.65238446076,-782.784510164333,1500.3852319909,0.5,13.8895,2,False,2317.044670214394
461,1593.79714673748,-774.939822614275,1492.03275181727,0.5,2.2277,3,True,2316.653363392416
451,1579.24669893501,-782.691251640141,1502.85514134297,0.5,3.0131,2,False,2316.2899877502678
460,1588.6613184257,-783.661860537175,1490.44849724473,0.5,2.6265,3,True,2315.039399073317
296,1618.51931910759,-785.401841709598,1456.77751265811,0.25,1.5638,2,False,2314.8783036418295
292,1618.26714691023,-785.401841709598,1457.02968485547,0.25,1.5638,2,False,2314.860711636844
295,1618.26714691023,-785.401841709598,1457.02968485547,0.25,1.5638,2,False,2314.860711636844
300,1578.4190277562,-778.16664823411,1503.85028335413,5.0,5.0907,4,True,2314.8467842064697
436,1578.4190277562,-778.16664823411,1503.85028335413,5.0,2.2289,3,True,2314.8467842064697
298,1578.4190277562,-778.16664823411,1503.85028335413,5.0,5.0907,4,True,2314.8467842064697
431,1578.80107727019,-777.176532437929,1503.8401455615,3.0,14.8458,2,False,2314.7681066500354
293,1618.26714691023,-785.401841709598,1456.52534046076,0.25,1.5638,2,False,2314.5432981765834
294,1618.26714691023,-785.401841709598,1456.52534046076,0.25,1.5638,2,False,2314.5432981765834
297,1618.01497471288,-785.401841709598,1456.77751265811,0.25,1.5638,2,False,2314.525703625324
164,1886.40978324301,-723.567091313621,1128.41745977239,0.5,0.808,4,True,2314.1774282595898
458,1596.93206687312,-784.450447582372,1479.06498499625,0.5,2.6191,3,True,2313.6956932063895
313,1565.57633702355,-751.628879913523,1528.66736493085,0.5,0.808,4,True,2313.611711755618
